Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
Starry Night	Debbie Macomber	5.99	FALSE	TRUE	FALSE	[u'Romance']	Random House Publishing Group	10/14/14	368	5	5
Shadows in the Vineyard: The True Story of the Plot to Poison the World's Greatest Wine	Maximillian Potter	18.63	TRUE	TRUE	FALSE	"[u'Legal Figures, Law Enforcers, & Criminals', u'Wine & Beverages', u'General & Miscellaneous Cooking', u'Social & Cultural History']"	Grand Central Publishing	7/29/14	304	2	5
I Hate Everyone...Starting with Me	Joan Rivers	10.48	TRUE	TRUE	TRUE	"[u'Humor', u'Entertainment Biography', u""Women's Biography"", u'Comedy', u""Women's Biography""]"	Penguin Group (USA)	4/2/13	272	126	3
All Creatures Great and Small	James Herriot	12.26	TRUE	TRUE	TRUE	"[u'Pets', u'Veterinary Medicine', u'US & Canadian Literary Biography', u'Medical Figures']"	St. Martin's Press	5/6/14	448	121	4.5
Orphan Train (Signed Book)	Christina Baker Kline	17.2	TRUE	TRUE	TRUE	[u'Fiction Subjects']	HarperCollins Publishers	10/14/14	288	653	4.5
Seams Unlikely: The Inspiring True Life Story of Nancy Zieman	Nancy Zieman	12.67	FALSE	FALSE	FALSE	"[u'Sewing, Quilting & Textile Arts', u'Entertainment Biography', u'Television Biography']"	Glass Road Media	2/4/14	320	4	5
Flags of Our Fathers	James Bradley	14.22	TRUE	TRUE	TRUE	"[u'Teens - Biography', u'Historical Biography', u'Teens - Military History', u'Military History', u'U.S. Armed Forces - Biography', u'United States History - 20th Century - Wars & Conflict', u'Photography - History, Criticism, & Collections', u'United States Armed Forces', u'World War II']"	Random House Publishing Group	8/29/06	382	338	4.5
Heaven Is For Real Conversation Guide	Todd Burpo	7.33	TRUE	FALSE	FALSE	"[u'General & Miscellaneous Religion', u'General Christianity', u'Parapsychology', u'Christian Biography']"	"Nelson, Thomas, Inc."	11/8/11	128	36	4
I Know Why the Caged Bird Sings	Maya Angelou	17.27	TRUE	TRUE	TRUE	"[u'African Americans - General & Miscellaneous', u'African American Biography & Memoir', u'United States Studies', u'American Fiction', u'Peoples & Cultures - Fiction', u'Family - Assorted Topics', u'Teens - Biography', u'Social Sciences - General & Miscellaneous', u""Women's Biography"", u""Teens - Women's Studies"", u'US & Canadian Literary Biography', u""Women's Biography"", u""Literary Figures - Women's Biography"", u'African American Biography']"	Random House Publishing Group	3/28/02	288	479	4
Three Cups of Tea: One Man's Mission to Promote Peace...One School at a Time	Greg Mortenson	11.09	TRUE	TRUE	TRUE	"[u'Education - General & Miscellaneous', u'Children - Social Studies', u'Asian & Asian American Studies', u'Outdoor & Adventure Sports', u'General Reference', u'Education Biography', u'Fiction Subjects', u'Social Work & Human Services', u'General & Miscellaneous Biography', u'Public Health & Safety', u'Politics & Government - General & Miscellaneous', u'Ecology & Environmental Sciences', u'Environmental Conservation & Protection']"	Viking Penguin	1/30/07	349	985	4
